patch-size,x-offset,y-offset,distance,tally
9,38,38,42.43,32
9,39,39,43.84,21
9,40,40,45.25,26
9,41,41,46.67,13
9,42,42,48.08,23
9,43,43,49.5,17
9,44,44,50.91,22
9,45,45,52.33,29
9,46,46,53.74,20
9,47,47,55.15,13
9,48,48,56.57,15
9,49,49,57.98,15
9,50,50,59.4,20
9,51,51,60.81,14
9,52,52,62.23,10
9,53,53,63.64,14
9,54,54,65.05,16
9,55,55,66.47,16
9,56,56,67.88,7
9,57,57,69.3,10
9,58,58,70.71,15
9,59,59,72.12,13
9,60,60,73.54,11
9,61,61,74.95,8
9,62,62,76.37,6
9,63,63,77.78,8
9,64,64,79.2,11
9,65,65,80.61,7
9,66,66,82.02,8
9,67,67,83.44,10
9,68,68,84.85,9
9,69,69,86.27,7
9,70,70,87.68,7
9,71,71,89.1,5
9,72,72,90.51,9
9,73,73,91.92,7
9,74,74,93.34,7
9,75,75,94.75,6
9,76,76,96.17,3
9,77,77,97.58,5
9,78,78,98.99,4
9,79,79,100.41,1
9,80,80,101.82,5
9,81,81,103.24,2
9,82,82,104.65,4
9,83,83,106.07,2
9,84,84,107.48,2
9,85,85,108.89,1
9,86,86,110.31,5
9,87,87,111.72,1
9,88,88,113.14,4
9,89,89,114.55,2
9,90,90,115.97,2
9,91,91,117.38,2
9,92,92,118.79,1
9,93,93,120.21,2
9,94,94,121.62,0
9,95,95,123.04,0
9,96,96,124.45,4
9,97,97,125.87,2
9,98,98,127.28,0
9,99,99,128.69,0
